X3	M5	M1	X5	C1	X4	M3	X6	H4	C3	M2	H6	H1	C4	H5	X2	H2	C2	M6	C6	H3	X1	C5	M4
H5	0.880990358119544	0.933502362808116	0.91713315734378	0.948074574152905	0.893641089417648	0.936432644576432	0.922570974838938	0.942248965306091	0.731035452234942	0.897454108802835	0.894896975658691	0.786606855815336	0.811563237876135	0.909367085753045	0	0.952190922685825	0.829880314356649	0.903017301389015	0.926354281996418	0.892304036786149	0.852391097851148	0.920570640578299	0.704568626319522	0.94765260485509
X2	0.749053424253371	0.83646716442619	0.801681620442385	0.737954932598602	0.870166219990333	0.767849593452518	0.75058671048502	0.833352108519925	0.928320112988122	0.873661888123234	0.842668533465765	0.923158467631496	0.832719726860157	0.939446508633187	0.952190922685825	0	0.844735681083018	0.927060382822222	0.81223467520555	0.899575906503581	0.888063291057449	0.757656478083915	0.901912339375573	0.835499859833223
H2	0.89977290039433	0.852477907372132	0.692684330717187	0.825864246322114	0.743791071607077	0.7818378216408	0.796509318580067	0.87476271501489	0.761984830173887	0.799781415565186	0.631959940528436	0.806704545044853	0.384276122643986	0.86611496884867	0.829880314356649	0.844735681083018	0	0.854349934204721	0.817984124029236	0.804395398488986	0.566114790117697	0.797352698336341	0.743785867851824	0.818796242723372
C2	0.947439730016325	0.918557111931307	0.896660969385349	0.911468589340256	0.836833494386182	0.912938776012401	0.904798820168875	0.919779212386147	0.885422403780497	0.744999822132223	0.912296116628116	0.883404839270111	0.856163664679025	0.883616757035357	0.903017301389015	0.927060382822222	0.854349934204721	0	0.905987762814142	0.826230021184572	0.891728262452231	0.890192318664543	0.854549866018321	0.92380762797187
M6	0.874105095140761	0.645310488561089	0.728907552146146	0.812881469133513	0.831532243213921	0.820201589284456	0.721533847458122	0.839116261036854	0.892661635667899	0.854046518574154	0.770455378723186	0.907363010771415	0.804106542077686	0.917849324416692	0.926354281996418	0.81223467520555	0.817984124029236	0.905987762814142	0	0.868979744184255	0.86998570312343	0.747245830721825	0.86925289172383	0.742599749925625
C6	0.925110921109333	0.891128248557081	0.856926094814092	0.843695299193827	0.791692641769895	0.87414822166568	0.848075124947433	0.851968891126186	0.851720331189356	0.778345678067766	0.864472479926873	0.8747364292401	0.808868804693461	0.812273078825155	0.892304036786149	0.899575906503581	0.804395398488986	0.826230021184572	0.868979744184255	0	0.834538601386176	0.816757989932918	0.816291401416434	0.889213529351163
H3	0.926713794123594	0.897587182250497	0.806921034682636	0.874257002191227	0.800227915233542	0.839695733357522	0.847548916977151	0.915065584455623	0.777544924103555	0.840437590269905	0.779637251276208	0.816547549943375	0.624196749094925	0.881279097215505	0.852391097851148	0.888063291057449	0.566114790117697	0.891728262452231	0.86998570312343	0.834538601386176	0	0.857703316040501	0.77670637725382	0.873208676743425
X1	0.853890956123775	0.780769907729882	0.760215265075702	0.718746821292637	0.818018775392455	0.759526186003924	0.767934861048484	0.778129888219138	0.88345201129388	0.845613411828361	0.774857085933752	0.904374208650973	0.788145163812749	0.878557651520148	0.920570640578299	0.757656478083915	0.797352698336341	0.890192318664543	0.747245830721825	0.816757989932918	0.857703316040501	0	0.870320947557003	0.806694433591081
C5	0.857899239783766	0.891703361579126	0.845942337449892	0.886511023684775	0.786551164009691	0.868973863583084	0.861352208485273	0.905076096394974	0.804388159908439	0.811061402457646	0.830933529567409	0.854106940270918	0.726495098948991	0.868039428853431	0.704568626319522	0.901912339375573	0.743785867851824	0.854549866018321	0.86925289172383	0.816291401416434	0.77670637725382	0.870320947557003	0	0.892755608641382
M4	0.903864672369131	0.749195820891399	0.722383287172538	0.822480455184713	0.858139686227691	0.81943943360767	0.770893489160535	0.86991631598216	0.921536301215626	0.881380685765965	0.774650321598353	0.912201008364028	0.809907817362256	0.931931482354666	0.94765260485509	0.835499859833223	0.818796242723372	0.92380762797187	0.742599749925625	0.889213529351163	0.873208676743425	0.806694433591081	0.892755608641382	0
