Contig	X3	M5	M1	X5	C1	X4	M3	X6	H4	C3	M2	H6	H1	C4	H5	X2	H2	C2	M6	C6	H3	X1	C5	M4
H2_19411	0	0	0	0	0	0	0	0	6	30	0	0	64	0	1	0	108	0	0	0	3	0	0	0
H2_19424	0	2	0	14	1130	0	2	4	38177	4385	0	596	1562	0	7505	0	4168	3318	0	146	698	0	779	0
H2_19426	5	705	1946	36	273	229	2130	35	38096	78	932	4440	5895	1046	9165	39	7633	200	1658	10	32899	32	547	1822
H2_19434	0	0	6	0	0	0	2	0	0	0	0	4	140	0	0	0	92	0	0	0	12	0	0	0
H2_19587	2	7	54	42	172	215	33	21	1193	223	60	305	1674	155	1136	10	1820	73	8	16	2440	23	252	24
H2_19609	0	13	0	60	22	2	34	6	9	15	2	0	24	2	0	0	302	28	51	23	81	56	4	3
H2_19696	0	218	85	106	109	89	41	31	819	176	83	46	204	1297	477	59	429	320	149	136	377	149	309	107
H2_19698	0	6	62	4	0	0	4	0	244	0	6	93	0	69	49	1	784	35	13	13	160	2	461	5
H2_19795	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	128	7	0	0	6	0	2	0
H2_19851	0	4	2	6	22	11	7	0	0	14	0	0	52	4	0	2	90	0	97	2	3	0	0	2
H2_1999	0	1	0	0	0	0	0	0	52	0	0	0	127	0	0	0	752	0	0	0	309	0	0	3
H2_20048	0	0	0	0	0	2	0	0	0	0	0	0	24	0	0	0	60	4	0	0	9	0	0	0
H2_20057	0	5	0	0	0	0	0	0	0	13	0	0	8	0	0	0	64	0	0	0	2	0	0	2
H2_20091	0	0	1	0	0	18	0	0	0	0	0	0	13	0	0	2	458	0	0	0	331	195	0	0
H2_20116	0	0	14	0	48	4	44	0	31	153	108	0	219	16	127	0	2578	57	3	6	81	2	5	74
H2_20122	0	0	0	0	0	0	0	0	0	0	0	0	42	0	8	6	41	0	0	0	0	0	0	0
H2_20286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0
H2_20303	4	160	548	226	406	293	96	7	73	306	82	80	917	65	19	291	3680	19	115	117	1891	125	238	402
H2_2031	0	0	8	3	9	2	15	1	31	16	10	0	96	79	0	0	131	13	2	65	1294	3	7	5
H2_20323	0	1	0	0	0	0	0	0	0	0	0	0	51	0	0	0	166	0	0	0	132	0	0	0
H2_20330	0	0	0	0	3	0	2	0	0	0	2	0	5	0	3	8	118	1	0	2	0	0	0	0
H2_20393	13	1131	4953	2290	22	30	705	185	14	71	687	3	5653	16	42	551	3045	12	1398	20	954	190	29	3454
H2_20394	0	8	30	24	3	50	22	3	978	0	9	408	1760	7	130	2	3619	0	10	0	1013	13	9	20
H2_204	0	0	1	0	0	0	2	0	5	0	0	0	18	0	5	0	85	1	0	0	23	0	0	0
H2_20422	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	211	0	0	0	34	0	101	0
H2_20513	0	0	0	0	0	0	0	0	19	10	0	18	118	11	53	0	274	22	0	15	5	0	24	2
H2_20522	0	78	255	29	0	0	119	0	490	2	69	197	0	60	104	34	1584	83	163	48	230	25	852	238
H2_20562	0	1	0	0	0	0	0	0	4	0	0	0	53	0	13	0	118	0	2	0	0	0	0	0
H2_20579	0	0	0	0	0	0	0	0	18	6	7	7	52	16	3	0	341	9	0	0	27	0	24	1
H2_20667	0	0	0	0	0	1	0	0	0	1	0	0	16	0	0	0	137	7	0	0	0	0	0	0
H2_20669	0	0	0	0	2	5	2	0	0	20	0	0	40	8	0	10	84	2	0	0	2	2	4	0
H2_20696	0	0	0	0	0	0	0	0	0	8	0	0	508	0	0	0	218	0	0	0	4	0	0	0
H2_2075	6	43	205	132	0	129	17	2	1031	60	15	208	0	9	157	183	3895	159	164	2	1452	39	676	174
H2_20931	0	0	8	0	754	0	2	0	0	0	0	0	43	2	2	0	108	130	0	19	68	0	2	0
H2_2094	0	317	437	63	90	40	98	15	9	1586	173	91	837	86	4	85	2831	150	589	437	332	62	1234	505
H2_20945	0	0	63	0	45	5	5	0	383	112	10	9	5773	0	19	2	39569	13	1	33	936	2	48	0
H2_2095	0	2	23	0	20	16	4	0	4	23	4	4	94	0	19	0	181	0	0	2	120	0	20	0
H2_20986	0	6	20	0	16	0	8	4	32	3	0	0	45	37	1	0	32	12	2	3	5	2	15	16
H2_21003	0	0	4	1	22	3	10	5	198	27	8	3	46	4	27	9	784	0	0	1	55	3	45	10
H2_2101	0	0	18	8	48	12	0	0	11	62	0	0	26	8	0	0	97	10	0	12	0	0	10	0
H2_21036	0	0	0	4	0	0	0	4	0	3	0	0	2	95	0	0	166	0	0	9	0	0	0	0
H2_21137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	98	0	0	5	0	0	2	0
H2_21151	0	0	0	0	0	0	0	0	33	68	0	0	32	0	218	0	10359	21	0	13	17090	0	0	0
H2_21344	0	10	20	5	5	10	0	0	2	0	4	0	226	0	5	5	142	2	0	0	59	19	33	6
H2_21390	0	2	26	8	44	6	2	0	15	120	0	0	25	13	0	5	144	29	1	13	29	1	31	0
H2_21406	0	0	0	0	0	0	0	0	0	4	0	0	17	0	0	0	75	0	0	0	27	0	0	0
H2_21446	0	0	2	0	2	0	0	0	9	0	0	0	22	0	26	0	85	0	0	0	13	0	0	3
H2_21473	0	0	132	6	129	8	38	0	86	253	115	90	370	17	5	2	2399	95	2	13	42	25	25	20
H2_21540	0	0	3	0	11	0	3	0	2	0	6	0	560	0	3	0	639	2	0	0	8	2	1	0
H2_21607	0	0	58	0	427	0	7	0	98	3	10	77	102	0	203	0	724	14	0	0	5	0	10	11
H2_21683	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	125	1	0	0	0	0	0	0
H2_21739	0	0	0	0	1	0	0	0	0	18	0	0	6	7	0	0	40	6	0	0	1	0	0	6
H2_21777	3	4	16	2	29	41	10	6	11	61	7	10	50	2	32	6	61	10	10	13	27	15	48	12
H2_21846	0	46	20	3	63	41	4	7	83	59	14	19	62	188	149	36	114	50	15	35	148	73	43	21
H2_21883	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	51	0	0	0	28	0	0	0
H2_21999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0
H2_22004	0	0	0	0	3	0	0	0	0	2	0	5	150	0	29	0	158	1	0	0	22	0	1	0
H2_2201	9	106	227	159	968	188	77	5	651	526	86	86	1233	512	417	104	2754	371	94	170	991	72	585	100
H2_22130	0	10	11	0	1	0	2	0	0	23	0	0	32	1	4	0	90	9	1	1	2	0	6	3
H2_22170	2	0	0	17	0	0	0	4	0	2	0	0	39	0	0	57	138	3	2	0	0	53	0	4
H2_22249	0	0	0	0	0	0	0	0	0	5	0	0	2	6	0	0	161	0	0	0	3	0	0	1
H2_2225	0	14	2	10	9	4	2	0	26	6	0	0	28	0	2	0	54	2	4	2	22	6	12	2
H2_2233	0	0	0	0	16	0	3	0	8	9	0	0	12	19	9	0	87	9	4	3	120	1	5	0
H2_22338	1	9	0	12	1	37	12	2	83	217	4	54	73	9	59	11	293	8	0	6	534	13	4	45
H2_22375	0	7	59	0	15	0	13	0	1	4	13	6	128	0	0	0	100	0	6	0	52	0	10	11
H2_22390	0	0	4	0	1	0	0	0	0	5	0	0	42	0	0	2	98	10	0	1	1	2	2	2
H2_22404	0	0	0	0	0	0	0	0	15	0	0	0	22	0	0	0	152	0	0	0	19	0	0	0
H2_22406	0	0	2	0	8	0	0	0	1	0	0	0	53	0	2	9	742	24	0	4	2	0	1	0
H2_22425	0	0	7	2	19	2	0	0	8	24	0	0	8	0	0	2	100	2	0	3	4	0	0	2
H2_22464	0	6	21	0	4	2	20	0	194	2	48	21	57	64	50	0	334	8	21	2	156	17	76	23
H2_22484	0	3	48	5	10	17	23	0	0	29	5	8	489	0	1	0	1158	4	12	5	210	31	126	0
H2_2251	0	0	1	0	9	0	0	0	94	16	0	15	310	2	7	0	406	8	0	3	199	0	1	0
H2_22539	0	1	29	1	16	4	0	0	0	16	4	0	559	2	0	11	1032	3	3	2	0	6	0	15
H2_22592	1	3	0	0	7	2	0	0	13	19	0	0	50	7	5	0	353	11	0	5	83	17	27	24
H2_2262	0	1	367	22	4501	1	25	0	219	21	25	339	972	1	586	2	8558	117	0	3	96	0	10	29
H2_22661	0	0	2	0	69	0	0	0	0	26	0	0	9	0	0	0	98	10	0	0	0	0	0	0
H2_22710	0	0	0	0	0	0	0	0	10	0	0	0	12	0	0	0	80	0	0	0	52	0	0	0
H2_22728	0	0	5	2	4	0	0	0	0	21	0	0	102	0	21	0	130	1	0	3	26	0	5	0
H2_22786	32	0	2	1	12	12	8	58	157	0	2	0	1198	10	3433	0	348	0	3	11	90	2	6090	0
H2_22796	2	22	183	1380	450	257	250	386	9	1464	24	0	236	260	9	93	180	797	187	985	73	2515	43	114
H2_22841	0	127	6	2	1	4	6	0	0	3	3	2	27	0	5	4	87	19	0	0	11	13	6	10
H2_22842	0	16	0	0	2	0	2	0	14	2	6	2	65	0	6	7	179	0	2	0	39	43	5	0
H2_22845	0	0	7	1	0	0	0	0	0	0	0	0	33	0	8	2	54	0	3	2	23	0	0	0
H2_22859	0	0	0	2	0	0	22	0	0	2	6	0	17	0	0	0	82	4	6	8	0	0	0	754
H2_22889	0	0	21	8	100	0	9	0	0	14	2	0	16	0	0	4	89	80	49	0	6	0	0	0
H2_22894	0	0	8	5	43	0	0	0	131	9	2	4	57	6	13	0	200	10	4	18	275	1	6	0
H2_22908	0	18	45	16	12	8	19	0	1	100	0	1	270	14	4	17	1802	90	33	24	144	8	9	16
H2_22998	0	0	0	0	0	0	0	0	9	0	0	10	28	0	20	0	56	0	0	0	95	0	0	4
H2_2302	0	2	6	0	0	0	0	0	0	0	3	0	45	0	0	2	112	0	13	0	23	8	0	0
H2_23045	0	0	4	0	0	0	0	0	0	0	0	0	16	0	11	0	101	0	0	0	47	0	0	0
H2_23064	0	0	1	0	0	0	0	0	0	5	0	0	107	4	0	3	190	1	2	2	32	3	3	1
H2_23073	0	0	0	0	27	0	0	0	0	0	0	0	23	0	0	0	191	15	0	0	56	0	24	0
H2_2309	0	0	0	0	1	0	0	0	1	2	0	0	2	0	1	0	92	0	0	0	0	0	0	0
H2_2314	0	0	0	0	0	0	0	0	1	6	0	8	54	0	0	0	120	0	0	4	14	0	0	0
H2_23152	0	0	8	0	47	1	0	0	0	4	0	0	32	0	2	0	46	0	0	0	33	0	2	1
H2_23165	0	1	0	0	0	0	0	0	3	0	0	64	53	0	24	0	95	4	0	0	88	0	3	2
H2_23177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0
H2_23233	0	3	31	0	28	16	8	0	8	485	5	0	96	131	0	8	118	56	14	83	11	0	101	5
H2_23271	0	0	0	0	9	0	1	1	0	3	0	0	9	0	0	1	204	6	0	1	0	0	0	0
H2_23293	0	0	10	0	16	9	12	0	0	0	2	0	55	4	0	0	615	0	0	4	0	13	0	4
H2_23295	0	0	2	7	33	0	0	0	14	39	0	0	32	0	1	0	110	9	0	16	2	2	23	0
H2_23332	1	0	8	2	0	24	2	0	46	12	8	0	199	0	0	27	317	2	22	0	155	26	12	2
H2_23391	0	95	218	11	47	9	277	0	498	271	300	8	209	25	260	0	3388	75	22	12	126	1	42	284
H2_23414	0	0	0	0	11	0	5	0	0	6	0	0	34	0	0	1	172	6	15	0	15	0	12	0
H2_23447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0
H2_23460	0	0	11	3	26	11	2	0	2	22	0	0	26	0	0	0	129	16	0	4	29	0	20	0
H2_23496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	1	0	0	0	0
H2_23510	0	1	1	0	0	0	2	0	0	1	8	0	2	0	0	0	97	0	2	0	0	0	0	9
H2_23532	0	0	0	2	2	0	0	0	0	0	0	0	3	0	0	1	164	0	0	0	0	0	0	1
H2_23604	1	2	12	2	36	14	3	0	1911	215	3	46	130	11	888	5	390	170	3	23	647	0	64	1
H2_23605	0	0	0	0	0	0	0	0	0	1	0	0	52	0	0	0	126	0	0	0	28	0	0	0
H2_23606	4	8	42	153	240	54	8	37	126	58	9	2	139	932	0	193	1142	42	4	172	412	354	14	1
H2_23635	0	1	4	8	0	0	0	1	0	0	0	4	91	0	11	0	61	0	0	0	26	0	0	0
H2_23687	0	22	12	12	11	15	6	0	108	30	53	4	309	0	21	1	877	14	2	1	202	2	2	31
H2_23698	0	0	0	6	0	7	0	0	0	0	0	0	152	0	0	1	114	0	0	0	148	3	0	0
H2_23702	0	0	0	0	32	0	0	0	370	325	0	26	93	0	14	0	280	159	0	23	56	0	44	0
H2_23708	0	1	0	0	0	0	0	1	4	14	0	0	8	19	2	0	113	41	0	0	0	0	1	51
H2_23748	0	0	0	0	0	0	0	0	2	6	0	0	9	0	0	0	401	7	0	0	0	0	0	0
H2_23792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	2	0	0	0
H2_23799	0	0	0	7	0	0	0	0	0	0	0	0	4	0	5	0	84	0	0	0	0	0	0	2
H2_23866	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	204	0	0	0	1650	4	0	4
H2_23890	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	197	0	0	0	6	0	0	0
H2_23898	0	0	0	0	15	0	0	0	65	3	0	2	49	0	32	0	95	2	0	0	6	0	19	0
H2_2393	0	0	0	0	0	0	0	0	0	0	0	0	71	0	15	0	129	0	0	0	15	0	0	0
H2_241	0	9	11	8	20	60	4	3	4	7	0	0	2	2	0	0	196	6	26	4	7	5	1	10
H2_24204	0	0	2	0	0	0	0	0	0	7	3	10	158	67	31	0	321	43	0	16	119	0	0	0
H2_2433	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	59	0	0	0	0	0	0	0
H2_24398	1	0	4	0	0	0	4	0	43	0	0	0	1028	0	775	0	224	0	0	0	91	2	2	0
H2_24406	0	0	0	0	6	0	1	0	0	16	5	0	39	9	1	0	81	13	0	0	49	0	0	0
H2_24494	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	593	0	0	0	0	0	0	0
H2_24584	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	364	0	0	0	3	0	43	0
H2_24612	0	0	0	0	2	0	0	0	127	49	0	0	21	0	8	0	172	6	0	0	11	0	12	0
