ID	Marmota himalayana	Marmota sibirica	Marmota caudata	Marmota baibacina
C1_19079	21	0	10483	0
C1_19247	134	295	773	16
C1_19300	3801	323	3825	832
C1_19313	49	30	79255	461
C1_19437	1	30	135	9
C1_19440	28	129	295	37
C1_19503	2	0	107	8
C1_19541	12	52	67	65
C1_19601	13	358	16913	1339
C1_19616	178	298	935	2362
C1_19623	132	117	1396	19
C1_19640	82	115	327	142
C1_19661	2	2	124	7
C1_19751	8	0	1857	35
C1_19768	4	19	76	13
C1_19789	126	178	258	17
C1_19814	3	0	72	2
C1_19842	16	122	1930	66
C1_20001	0	4	109	167
C1_20069	22	132	341	33
C1_20285	0	9	144	3
C1_20286	7	69	197	8
C1_20294	0	0	120	0
C1_20307	38	7	227	50
C1_20335	1	94	3579	1233
C1_20372	8	0	126	8
C1_20385	0	0	386	0
C1_20386	0	123	345	80
C1_20496	0	0	152	0
C1_20531	3	0	278	0
C1_20563	17	11	23398	11
C1_20624	6	30	161	6
C1_20674	9	24	462	290
C1_20675	0	0	152	0
C1_20726	1	13	141	0
C1_20781	0	65	111	11
C1_20794	97	1153	825	446
C1_21017	56	177	8767	2974
C1_21070	20	16	357	31
C1_21106	342	178	1315	1720
C1_21181	33	4	176	30
C1_21276	2	0	54066	3
C1_21352	13	0	394	167
C1_21403	52	114	628	428
C1_21470	104	25	1254	77
C1_21498	6113	10674	20950	10744
C1_21507	12	60	240	6
C1_21588	2	2	4399	0
C1_21603	6	9	159	18
C1_21638	0	19	536	34
C1_21661	5	35	153	9
C1_21745	72	91	765	225
C1_21936	22	18	1274	40
C1_21969	2	4	203	117
C1_21978	73	150	569	489
C1_22068	0	0	4608	0
C1_22112	3	0	103	0
C1_22179	0	1	70	0
C1_22246	22	239	1486	124
C1_22298	0	8	328	0
C1_22362	0	0	120	166
C1_22372	16	2	98	12
C1_22462	13	4	57	21
C1_22467	0	0	2300	8
C1_22585	0	2	14383	16
C1_22628	0	0	236	0
C1_22707	24	0	55519	4
